pool_id,bracket_id,Win Frequency,Cash Frequency,EV,1sigma,f4w,f4e,f4mw,f4s,f1,f2,winner
65,8,0.03,0.16,9.0,29.0,Gonzaga,Alabama,Illinois,Baylor,Gonzaga,Baylor,Baylor
65,13,0.03,0.14,9.0,29.0,Gonzaga,Michigan,Illinois,Arkansas,Gonzaga,Illinois,Gonzaga
65,12,0.03,0.1,8.0,29.0,Iowa,Texas,Illinois,Arkansas,Iowa,Arkansas,Iowa
65,22,0.02,0.14,8.0,26.0,Gonzaga,St. Bonaventure,Illinois,Ohio State,Gonzaga,Illinois,Gonzaga
65,24,0.03,0.11,8.0,29.0,Gonzaga,Florida State,Illinois,Villanova,Gonzaga,Illinois,Illinois
65,4,0.03,0.09,7.0,27.0,Gonzaga,Michigan,Tennessee,Ohio State,Gonzaga,Ohio State,Ohio State
65,16,0.02,0.07,5.0,24.0,Virginia,Brigham Young,Illinois,Ohio State,Virginia,Illinois,Virginia
65,5,0.01,0.08,5.0,21.0,Gonzaga,Texas,Oklahoma State,Ohio State,Gonzaga,Ohio State,Gonzaga
65,15,0.01,0.07,4.0,18.0,Gonzaga,Florida State,Oklahoma State,Ohio State,Gonzaga,Ohio State,Gonzaga
65,10,0.01,0.07,4.0,20.0,Iowa,Michigan,West Virginia,Purdue,Michigan,West Virginia,West Virginia
65,2,0.01,0.06,4.0,18.0,Kansas,Alabama,West Virginia,Baylor,Alabama,Baylor,Baylor
65,0,0.01,0.04,3.0,17.0,Kansas,Texas,Houston,Arkansas,Kansas,Houston,Kansas
65,19,0.0,0.04,2.0,14.0,Gonzaga,Alabama,Houston,Baylor,Alabama,Houston,Alabama
66,24,0.17,0.5,39.0,54.0,Gonzaga,Michigan,Illinois,Baylor,Gonzaga,Baylor,Gonzaga
66,4,0.09,0.27,20.0,43.0,Gonzaga,Alabama,Houston,Baylor,Alabama,Baylor,Baylor
